Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
180.000000	1.12533   	180.000000	1.53251   	180.000000	1.53473   	180.000000	1.52142   	180.000000	1.53195   	180.000000	0.000559716	
185.000000	1.10581   	185.000000	1.50503   	185.000000	1.50731   	185.000000	1.49391   	185.000000	1.50449   	185.000000	0.000545852	
190.000000	1.08725   	190.000000	1.47895   	190.000000	1.48131   	190.000000	1.46779   	190.000000	1.47842   	190.000000	0.000532685	
195.000000	1.06958   	195.000000	1.45416   	195.000000	1.45659   	195.000000	1.44298   	195.000000	1.45364   	195.000000	0.000520163	
200.000000	1.05274   	200.000000	1.43056   	200.000000	1.43307   	200.000000	1.41937   	200.000000	1.43005   	200.000000	0.000508239	
210.000000	1.02133   	210.000000	1.38662   	210.000000	1.38929   	210.000000	1.37542   	210.000000	1.38613   	210.000000	0.00048602	
220.000000	0.992612  	220.000000	1.34655   	220.000000	1.34923   	220.000000	1.33536   	220.000000	1.34608   	220.000000	0.000465732	
230.000000	0.96625   	230.000000	1.30986   	230.000000	1.31265   	230.000000	1.29871   	230.000000	1.30941   	230.000000	0.000447132	
240.000000	0.941965  	240.000000	1.27614   	240.000000	1.27911   	240.000000	1.26504   	240.000000	1.27571   	240.000000	0.000430015	
250.000000	0.91952   	250.000000	1.24504   	250.000000	1.24807   	250.000000	1.23401   	250.000000	1.24463   	250.000000	0.000414207	
260.000000	0.898713  	260.000000	1.21628   	260.000000	1.21939   	260.000000	1.20533   	260.000000	1.21588   	260.000000	0.000399563	
270.000000	0.879371  	270.000000	1.1896    	270.000000	1.19287   	270.000000	1.17874   	270.000000	1.18922   	270.000000	0.000385957	
280.000000	0.861344  	280.000000	1.16479   	280.000000	1.1681    	280.000000	1.15403   	280.000000	1.16442   	280.000000	0.000373282	
290.000000	0.844504  	290.000000	1.14166   	290.000000	1.14501   	290.000000	1.131     	290.000000	1.1413    	290.000000	0.000361442	
300.000000	0.828736  	300.000000	1.12004   	300.000000	1.12353   	300.000000	1.1095    	300.000000	1.11969   	300.000000	0.000350358	
310.000000	0.813943  	310.000000	1.0998    	310.000000	1.10344   	310.000000	1.08938   	310.000000	1.09946   	310.000000	0.000339959	
320.000000	0.800037  	320.000000	1.08081   	320.000000	1.08453   	320.000000	1.07052   	320.000000	1.08048   	320.000000	0.000330182	
330.000000	0.786942  	330.000000	1.06296   	330.000000	1.06676   	330.000000	1.0528    	330.000000	1.06264   	330.000000	0.000320972	
340.000000	0.77459   	340.000000	1.04615   	340.000000	1.05004   	340.000000	1.03612   	340.000000	1.04584   	340.000000	0.000312281	
350.000000	0.76292   	350.000000	1.0303    	350.000000	1.03428   	350.000000	1.02041   	350.000000	1.03      	350.000000	0.000304065	
360.000000	0.751879  	360.000000	1.01533   	360.000000	1.0194    	360.000000	1.00557   	360.000000	1.01503   	360.000000	0.000296287	
370.000000	0.741417  	370.000000	1.00116   	370.000000	1.00525   	370.000000	0.991463  	370.000000	1.00087   	370.000000	0.000288911	
380.000000	0.731491  	380.000000	0.987745  	380.000000	0.991849  	380.000000	0.978106  	380.000000	0.987463  	380.000000	0.000281907	
390.000000	0.722062  	390.000000	0.97502   	390.000000	0.979147  	390.000000	0.965446  	390.000000	0.974744  	390.000000	0.000275247	
400.000000	0.713096  	400.000000	0.962935  	400.000000	0.967091  	400.000000	0.95343   	400.000000	0.962666  	400.000000	0.000268905	
410.000000	0.704558  	410.000000	0.951446  	410.000000	0.955635  	410.000000	0.942014  	410.000000	0.951183  	410.000000	0.000262861	
420.000000	0.696421  	420.000000	0.940512  	420.000000	0.944738  	420.000000	0.931154  	420.000000	0.940255  	420.000000	0.000257092	
430.000000	0.688658  	430.000000	0.930094  	430.000000	0.93436   	430.000000	0.920814  	430.000000	0.929843  	430.000000	0.00025158	
440.000000	0.681245  	440.000000	0.92016   	440.000000	0.924465  	440.000000	0.910958  	440.000000	0.919913  	440.000000	0.000246308	
450.000000	0.674159  	450.000000	0.910676  	450.000000	0.915026  	450.000000	0.901555  	450.000000	0.910435  	450.000000	0.00024126	
460.000000	0.66738   	460.000000	0.901616  	460.000000	0.90602   	460.000000	0.892575  	460.000000	0.901379  	460.000000	0.000236423	
470.000000	0.66089   	470.000000	0.892952  	470.000000	0.897407  	470.000000	0.883993  	470.000000	0.89272   	470.000000	0.000231783	
480.000000	0.654672  	480.000000	0.884661  	480.000000	0.889146  	480.000000	0.875784  	480.000000	0.884433  	480.000000	0.000227329	
490.000000	0.64871   	490.000000	0.87672   	490.000000	0.881215  	490.000000	0.867926  	490.000000	0.876497  	490.000000	0.000223048	
