Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
170.000000	1.30862   	170.000000	1.56478   	170.000000	1.56645   	170.000000	1.55363   	170.000000	1.56433   	170.000000	0.000450181	
175.000000	1.28433   	175.000000	1.53454   	175.000000	1.53645   	175.000000	1.5235    	175.000000	1.53411   	175.000000	0.000438368	
180.000000	1.26129   	180.000000	1.50592   	180.000000	1.50814   	180.000000	1.49499   	180.000000	1.50549   	180.000000	0.000427183	
185.000000	1.23943   	185.000000	1.47877   	185.000000	1.48131   	185.000000	1.46797   	185.000000	1.47836   	185.000000	0.000416576	
190.000000	1.21864   	190.000000	1.453     	190.000000	1.45576   	190.000000	1.44232   	190.000000	1.4526    	190.000000	0.000406502	
195.000000	1.19885   	195.000000	1.4285    	195.000000	1.43145   	195.000000	1.41795   	195.000000	1.42811   	195.000000	0.000396923	
200.000000	1.17999   	200.000000	1.40518   	200.000000	1.40834   	200.000000	1.39477   	200.000000	1.4048    	200.000000	0.000387802	
210.000000	1.14481   	210.000000	1.36176   	210.000000	1.36547   	210.000000	1.35163   	210.000000	1.36139   	210.000000	0.000370807	
220.000000	1.11263   	220.000000	1.32215   	220.000000	1.32629   	220.000000	1.31231   	220.000000	1.32179   	220.000000	0.000355292	
230.000000	1.0831    	230.000000	1.28587   	230.000000	1.29039   	230.000000	1.27633   	230.000000	1.28553   	230.000000	0.000341068	
240.000000	1.05589   	240.000000	1.25253   	240.000000	1.25741   	240.000000	1.2433    	240.000000	1.25221   	240.000000	0.000327981	
250.000000	1.03075   	250.000000	1.22179   	250.000000	1.22696   	250.000000	1.21286   	250.000000	1.22147   	250.000000	0.000315896	
260.000000	1.00743   	260.000000	1.19335   	260.000000	1.19884   	260.000000	1.18473   	260.000000	1.19304   	260.000000	0.000304702	
270.000000	0.985759  	270.000000	1.16697   	270.000000	1.17283   	270.000000	1.15866   	270.000000	1.16667   	270.000000	0.000294302	
280.000000	0.96556   	280.000000	1.14243   	280.000000	1.14864   	280.000000	1.13444   	280.000000	1.14214   	280.000000	0.000284614	
290.000000	0.946689  	290.000000	1.11955   	290.000000	1.12601   	290.000000	1.11187   	290.000000	1.11927   	290.000000	0.000275566	
300.000000	0.92902   	300.000000	1.09817   	300.000000	1.10494   	300.000000	1.09081   	300.000000	1.09791   	300.000000	0.000267096	
310.000000	0.912443  	310.000000	1.07815   	310.000000	1.08525   	310.000000	1.0711    	310.000000	1.07789   	310.000000	0.00025915	
320.000000	0.896859  	320.000000	1.05937   	320.000000	1.0667    	320.000000	1.05263   	320.000000	1.05912   	320.000000	0.000251681	
330.000000	0.882184  	330.000000	1.04171   	330.000000	1.04935   	330.000000	1.03528   	330.000000	1.04147   	330.000000	0.000244645	
340.000000	0.868341  	340.000000	1.02509   	340.000000	1.03304   	340.000000	1.01896   	340.000000	1.02485   	340.000000	0.000238005	
350.000000	0.855263  	350.000000	1.00941   	350.000000	1.01761   	350.000000	1.00358   	350.000000	1.00918   	350.000000	0.00023173	
360.000000	0.842888  	360.000000	0.9946    	360.000000	1.00303   	360.000000	0.98907   	360.000000	0.994374  	360.000000	0.000225789	
370.000000	0.831163  	370.000000	0.98059   	370.000000	0.98927   	370.000000	0.975356  	370.000000	0.98037   	370.000000	0.000220155	
380.000000	0.820038  	380.000000	0.96732   	380.000000	0.976232  	380.000000	0.962378  	380.000000	0.967105  	380.000000	0.000214806	
390.000000	0.809471  	390.000000	0.954735  	390.000000	0.963888  	390.000000	0.95008   	390.000000	0.954525  	390.000000	0.00020972	
400.000000	0.799421  	400.000000	0.942784  	400.000000	0.952219  	400.000000	0.938413  	400.000000	0.942579  	400.000000	0.000204878	
410.000000	0.789852  	410.000000	0.931423  	410.000000	0.941141  	410.000000	0.927332  	410.000000	0.931222  	410.000000	0.000200263	
420.000000	0.780732  	420.000000	0.92061   	420.000000	0.93057   	420.000000	0.916795  	420.000000	0.920414  	420.000000	0.000195858	
