Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
190.000000	1.35746   	190.000000	1.61889   	190.000000	1.62245   	190.000000	1.60702   	190.000000	1.61844   	190.000000	0.000450945	
195.000000	1.33543   	195.000000	1.5916    	195.000000	1.5955    	195.000000	1.57987   	195.000000	1.59116   	195.000000	0.000440323	
200.000000	1.31444   	200.000000	1.56562   	200.000000	1.56984   	200.000000	1.55404   	200.000000	1.56519   	200.000000	0.000430208	
210.000000	1.27527   	210.000000	1.51724   	210.000000	1.52191   	210.000000	1.50597   	210.000000	1.51683   	210.000000	0.000411362	
220.000000	1.23946   	220.000000	1.47312   	220.000000	1.47835   	220.000000	1.46217   	220.000000	1.47272   	220.000000	0.000394156	
230.000000	1.20658   	230.000000	1.4327    	230.000000	1.43838   	230.000000	1.42209   	230.000000	1.43233   	230.000000	0.000378383	
240.000000	1.17628   	240.000000	1.39556   	240.000000	1.40163   	240.000000	1.38528   	240.000000	1.3952    	240.000000	0.000363869	
250.000000	1.14828   	250.000000	1.36131   	250.000000	1.36777   	250.000000	1.35137   	250.000000	1.36096   	250.000000	0.000350466	
260.000000	1.12233   	260.000000	1.32962   	260.000000	1.33647   	260.000000	1.32003   	260.000000	1.32928   	260.000000	0.000338052	
270.000000	1.09819   	270.000000	1.30022   	270.000000	1.30745   	270.000000	1.29098   	270.000000	1.2999    	270.000000	0.000326518	
280.000000	1.0757    	280.000000	1.27289   	280.000000	1.28049   	280.000000	1.26399   	280.000000	1.27257   	280.000000	0.000315773	
290.000000	1.05468   	290.000000	1.2474    	290.000000	1.25536   	290.000000	1.23885   	290.000000	1.24709   	290.000000	0.000305739	
300.000000	1.03501   	300.000000	1.22358   	300.000000	1.2319    	300.000000	1.21538   	300.000000	1.22328   	300.000000	0.000296345	
310.000000	1.01655   	310.000000	1.20127   	310.000000	1.20996   	310.000000	1.19342   	310.000000	1.20098   	310.000000	0.000287532	
320.000000	0.999192  	320.000000	1.18034   	320.000000	1.18938   	320.000000	1.17284   	320.000000	1.18007   	320.000000	0.000279247	
330.000000	0.982848  	330.000000	1.16067   	330.000000	1.16999   	330.000000	1.15351   	330.000000	1.1604    	330.000000	0.000271443	
340.000000	0.967431  	340.000000	1.14215   	340.000000	1.15173   	340.000000	1.13533   	340.000000	1.14189   	340.000000	0.000264079	
350.000000	0.952864  	350.000000	1.12468   	350.000000	1.1346    	350.000000	1.11819   	350.000000	1.12442   	350.000000	0.000257119	
360.000000	0.939081  	360.000000	1.10818   	360.000000	1.1184    	360.000000	1.10202   	360.000000	1.10793   	360.000000	0.000250529	
370.000000	0.926022  	370.000000	1.09257   	370.000000	1.10304   	370.000000	1.08674   	370.000000	1.09233   	370.000000	0.00024428	
380.000000	0.913631  	380.000000	1.07778   	380.000000	1.08855   	380.000000	1.07228   	380.000000	1.07755   	380.000000	0.000238347	
390.000000	0.901861  	390.000000	1.06376   	390.000000	1.07485   	390.000000	1.05858   	390.000000	1.06353   	390.000000	0.000232706	
400.000000	0.890666  	400.000000	1.05045   	400.000000	1.06179   	400.000000	1.04558   	400.000000	1.05022   	400.000000	0.000227335	
410.000000	0.880008  	410.000000	1.03779   	410.000000	1.04937   	410.000000	1.03324   	410.000000	1.03757   	410.000000	0.000222215	
420.000000	0.869849  	420.000000	1.02574   	420.000000	1.03761   	420.000000	1.0215    	420.000000	1.02552   	420.000000	0.000217329	
430.000000	0.860157  	430.000000	1.01426   	430.000000	1.02643   	430.000000	1.01032   	430.000000	1.01405   	430.000000	0.000212661	
440.000000	0.850901  	440.000000	1.00332   	440.000000	1.01575   	440.000000	0.999674  	440.000000	1.00311   	440.000000	0.000208197	
450.000000	0.842054  	450.000000	0.992873  	450.000000	1.00552   	450.000000	0.98952   	450.000000	0.992669  	450.000000	0.000203923	
460.000000	0.833591  	460.000000	0.982893  	460.000000	0.995761  	460.000000	0.979827  	460.000000	0.982693  	460.000000	0.000199827	
