Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
75.000000	2.1339    	75.000000	2.53222   	75.000000	2.52003   	75.000000	2.52557   	75.000000	2.53137   	75.000000	0.000853451	
80.000000	2.03266   	80.000000	2.41035   	80.000000	2.40001   	80.000000	2.40269   	80.000000	2.40955   	80.000000	0.000804669	
85.000000	1.94233   	85.000000	2.3018    	85.000000	2.29288   	85.000000	2.29338   	85.000000	2.30104   	85.000000	0.000761366	
90.000000	1.86121   	90.000000	2.2045    	90.000000	2.1969    	90.000000	2.1955    	90.000000	2.20378   	90.000000	0.000722656	
95.000000	1.78793   	95.000000	2.11678   	95.000000	2.11038   	95.000000	2.10734   	95.000000	2.11609   	95.000000	0.000687838	
100.000000	1.72138   	100.000000	2.03728   	100.000000	2.03177   	100.000000	2.02752   	100.000000	2.03662   	100.000000	0.000656344	
105.000000	1.66065   	105.000000	1.96489   	105.000000	1.96021   	105.000000	1.95489   	105.000000	1.96426   	105.000000	0.000627715	
110.000000	1.605     	110.000000	1.89869   	110.000000	1.89483   	110.000000	1.88852   	110.000000	1.89809   	110.000000	0.000601572	
115.000000	1.55381   	115.000000	1.83792   	115.000000	1.83463   	115.000000	1.82763   	115.000000	1.83735   	115.000000	0.000577601	
120.000000	1.50653   	120.000000	1.78194   	120.000000	1.77925   	120.000000	1.77156   	120.000000	1.78138   	120.000000	0.000555538	
125.000000	1.46274   	125.000000	1.73019   	125.000000	1.72814   	125.000000	1.71977   	125.000000	1.72966   	125.000000	0.000535162	
130.000000	1.42205   	130.000000	1.68222   	130.000000	1.68061   	130.000000	1.67178   	130.000000	1.6817    	130.000000	0.000516284	
135.000000	1.38414   	135.000000	1.63762   	135.000000	1.63643   	135.000000	1.62719   	135.000000	1.63712   	135.000000	0.000498742	
140.000000	1.34872   	140.000000	1.59604   	140.000000	1.59527   	140.000000	1.58564   	140.000000	1.59556   	140.000000	0.000482397	
145.000000	1.31555   	145.000000	1.5572    	145.000000	1.55683   	145.000000	1.54683   	145.000000	1.55673   	145.000000	0.000467131	
150.000000	1.28441   	150.000000	1.52082   	150.000000	1.52083   	150.000000	1.51051   	150.000000	1.52037   	150.000000	0.000452837	
155.000000	1.24047   	155.000000	1.48668   	155.000000	1.48698   	155.000000	1.47644   	155.000000	1.48624   	155.000000	0.000439424	
160.000000	1.21476   	160.000000	1.45457   	160.000000	1.45509   	160.000000	1.44441   	160.000000	1.45415   	160.000000	0.000426813	
165.000000	1.19051   	165.000000	1.42433   	165.000000	1.42507   	165.000000	1.41425   	165.000000	1.42392   	165.000000	0.000414934	
170.000000	1.16759   	170.000000	1.39579   	170.000000	1.39683   	170.000000	1.38581   	170.000000	1.39539   	170.000000	0.000403722	
175.000000	1.1459    	175.000000	1.36881   	175.000000	1.37017   	175.000000	1.35893   	175.000000	1.36842   	175.000000	0.000393123	
180.000000	1.12533   	180.000000	1.34327   	180.000000	1.34486   	180.000000	1.3335    	180.000000	1.34289   	180.000000	0.000383087	
185.000000	1.10581   	185.000000	1.31906   	185.000000	1.32084   	185.000000	1.30939   	185.000000	1.31868   	185.000000	0.00037357	
190.000000	1.08725   	190.000000	1.29607   	190.000000	1.29806   	190.000000	1.28652   	190.000000	1.2957    	190.000000	0.000364533	
195.000000	1.06958   	195.000000	1.27421   	195.000000	1.27641   	195.000000	1.26478   	195.000000	1.27385   	195.000000	0.000355938	
200.000000	1.05274   	200.000000	1.25341   	200.000000	1.2558    	200.000000	1.2441    	200.000000	1.25306   	200.000000	0.000347755	
210.000000	1.02133   	210.000000	1.21467   	210.000000	1.21746   	210.000000	1.20561   	210.000000	1.21434   	210.000000	0.000332508	
220.000000	0.992612  	220.000000	1.17933   	220.000000	1.18239   	220.000000	1.17054   	220.000000	1.17902   	220.000000	0.000318589	
230.000000	0.96625   	230.000000	1.14698   	230.000000	1.15036   	230.000000	1.13845   	230.000000	1.14667   	230.000000	0.000305829	
240.000000	0.941965  	240.000000	1.11724   	240.000000	1.12101   	240.000000	1.10898   	240.000000	1.11694   	240.000000	0.000294088	
250.000000	0.91952   	250.000000	1.08981   	250.000000	1.09385   	250.000000	1.08184   	250.000000	1.08953   	250.000000	0.000283248	
260.000000	0.898713  	260.000000	1.06444   	260.000000	1.06876   	260.000000	1.05675   	260.000000	1.06417   	260.000000	0.000273206	
270.000000	0.879371  	270.000000	1.04091   	270.000000	1.04556   	270.000000	1.03349   	270.000000	1.04065   	270.000000	0.000263877	
280.000000	0.861344  	280.000000	1.01902   	280.000000	1.02391   	280.000000	1.01188   	280.000000	1.01877   	280.000000	0.000255187	
290.000000	0.844504  	290.000000	0.998614  	290.000000	1.00373   	290.000000	0.991758  	290.000000	0.998367  	290.000000	0.000247071	
300.000000	0.828736  	300.000000	0.979545  	300.000000	0.984952  	300.000000	0.972969  	300.000000	0.979305  	300.000000	0.000239474	
310.000000	0.813943  	310.000000	0.961688  	310.000000	0.967401  	310.000000	0.95539   	310.000000	0.961456  	310.000000	0.000232346	
320.000000	0.800037  	320.000000	0.944934  	320.000000	0.950882  	320.000000	0.938913  	320.000000	0.944708  	320.000000	0.000225646	
330.000000	0.786942  	330.000000	0.929185  	330.000000	0.935361  	330.000000	0.923439  	330.000000	0.928966  	330.000000	0.000219335	
340.000000	0.77459   	340.000000	0.914356  	340.000000	0.920768  	340.000000	0.908882  	340.000000	0.914143  	340.000000	0.00021338	
350.000000	0.76292   	350.000000	0.90037   	350.000000	0.907014  	350.000000	0.895166  	350.000000	0.900162  	350.000000	0.000207752	
360.000000	0.751879  	360.000000	0.88716   	360.000000	0.894032  	360.000000	0.882222  	360.000000	0.886957  	360.000000	0.000202423	
370.000000	0.741417  	370.000000	0.874663  	370.000000	0.881763  	370.000000	0.869989  	370.000000	0.874466  	370.000000	0.000197371	
380.000000	0.731491  	380.000000	0.862827  	380.000000	0.870151  	380.000000	0.858413  	380.000000	0.862634  	380.000000	0.000192573	
